Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2023,"Miguel Cabrera","DET",99,0.11111111,0.23232323,0.47826087,0.26744186,0.35353535,0.3372093,0.69074465,0.06976744,0.359375,11.50424005138062,-0.5583337615213534,0.3115839018966212,96.72052594470088,1744
2023,"Carlos Santana","2 Tms",161,0.1242236,0.13043478,0.95238095,0.26618705,0.35403727,0.45323741,0.80727468,0.18705036,0.27192982,23.713829539511252,4.096916571054509,0.34901498859713537,118.0986079670097,2396
2023,"Nelson Cruz","SDP",89,0.04494382,0.3258427,0.13793103,0.24096386,0.28089888,0.38554217,0.66644105,0.14457831,0.32692308,8.236958248089952,-2.6071737655289935,0.28310175240039825,80.13960132761285,2434
2023,"Tommy Pham","2 Tms",177,0.10734463,0.19774011,0.54285714,0.24516129,0.3220339,0.46451613,0.78655003,0.21935484,0.25438596,23.805868035919527,2.2394481886099413,0.3334410400553183,111.50083664712324,2967
2023,"Anthony Rizzo","NYY",87,0.09195402,0.12643678,0.72727273,0.33333333,0.40229885,0.42307692,0.82537577,0.08974359,0.37878788,14.011483410104052,3.4110397563417134,0.36558417479197186,136.5010148133762,3473
2023,"Justin Turner","BOS",164,0.1097561,0.19512195,0.5625,0.28472222,0.37195122,0.52777778,0.899729,0.24305556,0.31730769,29.03084986187921,9.048404353637562,0.3848086093983999,141.57944520796494,5235
2023,"Robbie Grossman","TEX",137,0.16788321,0.23357664,0.71875,0.30909091,0.41605839,0.53636364,0.95242203,0.22727273,0.37662338,26.338932963537847,9.646280313360366,0.40315617697082295,158.0635694566613,5254
2023,"Freddie Freeman","LAD",218,0.06880734,0.18348624,0.375,0.33502538,0.39908257,0.60913706,1.00821963,0.27411168,0.37241379,46.159832486321775,19.597801261951773,0.42662086782105474,173.5135326231386,5361
2023,"Jose Altuve","HOU",113,0.10619469,0.14159292,0.75,0.28282828,0.37168142,0.47474747,0.84642889,0.19191919,0.3125,18.31834954774744,4.549957215849232,0.36685781457782846,136.1751937081501,5417
2023,"Wilmer Flores","SFG",181,0.07734807,0.15469613,0.5,0.3030303,0.36111111,0.52727273,0.88838384,0.22424243,0.3255814,30.93807437919878,8.884277812175977,0.37747711242910204,141.9403488824797,5827
2023,"Eduardo Escobar","2 Tms",116,0.05172414,0.23275862,0.22222222,0.28440367,0.31896552,0.44954128,0.7685068,0.16513761,0.34177215,15.117373053458193,0.9834481817750718,0.32858303497577535,108.17303315373424,6153
2023,"J.D. Martinez","LAD",136,0.09558824,0.31617647,0.30232558,0.27350427,0.34328358,0.58119658,0.92448016,0.30769231,0.33823529,23.63604078755995,7.065232317310773,0.3809278513255872,142.88151156129703,6184
2023,"Martin Maldonado","HOU",99,0.1010101,0.35353535,0.28571429,0.23863636,0.31632653,0.5,0.81632653,0.26136364,0.31914894,14.434582138683348,2.372008325781374,0.3472244873338816,122.5672197671831,6887
2023,"Salvador Perez","KCR",146,0.05479452,0.23972603,0.22857143,0.22727273,0.29452055,0.37121212,0.66573267,0.14393939,0.2688172,12.935654885735579,-4.853595383796626,0.2783459078335593,69.79098942788934,7304
